Country,Name,Description
Sri Lanka,"National Identity Card
ජාතික හැඳුනුම්පත
தேசிய அடையாள அட்டை","All citizens over the age of 16 need to apply for a National Identity Card (NIC). Each NIC has a unique 10 digit number, in the format 000000000A (where 0 is a digit and A is a letter). The first two digits of the number are your year of birth (e.g., 88xxxxxxxx for someone born in 1988). The final letter is generally a V or X. An NIC number is required to apply for a passport (over 16), driving license (over 18) and to vote (over 18). In addition, all citizens are required to carry their NIC on them at all times as proof of identity, given the security situation in the country. NICs are not issued to non-citizens, but they too are required to carry some form of photo identification (such as a photocopy of their passport or foreign driving license) at all times.[89] In addition the Department of Post may issue an identity card with a validity of five years, this may be gained in lieu of an NIC if the latter is unable to be issued."
Sudan,National identity card,Compulsory for all Sudanese citizens.[90][91]
Suriname,Identiteitskaart (national identity card),Compulsory for all Surinamese citizens.[92][93]
Syria,بطاقة الهوية الوطنية (National ID card),Compulsory for all Syrian citizens. Must be uptained at the age of 14. Information displayed in Arabic only.[94]
Taiwan,National Identification Card國民身份證,Compulsory for ROC nationals 14 and older whose household is registered in Taiwan.
Tajikistan,Корти миллии миллӣ (national ID card),"Compulsory for all Tajik citizens. Electronic, with informations displayed in both Tajik and English since 2015.[95]"
Thailand,บัตรประจำตัวประชาชน (Thai national ID card),"Compulsory for citizens who are 7 – 70 years of age.[96] People older than 70 years and exempted citizen can still apply for a card. A fee of ฿100 is payable in case of loss, damage or information alteration."
Tunisia,بطاقة التعريف الوطنية (Tunisian National Identification Card),Compulsory for citizens 18 and older. A minor can obtain a national identity card with a legal ascendant(s) approval.
Turkey,Kimlik Kartı (Identity card),"Compulsory from birth and must be carried at all times. A photograph is optional until the bearer turns 15. It is often photocopied at government offices, banks, and the like.[97]"
Uganda,National Identity Card,"Compulsory for Ugandan citizens anywhere in the world, and compulsory for non-citizen permanent residents in Uganda.[98] In April–August 2014 the government registered sixteen out of eighteen million citizens.[99] In 2017 the government began a nationwide effort to register children.[99] An identity card or identity number is required for all government services, including voting, as well as many private services—for example, opening bank accounts, buying insurance policies, transferring interests in real property.[100]"
Ukraine,Паспорт громадянина України (Passport of Ukrainian citizen),"Compulsory for citizens 14 and older. Before 2016, the national identity card was a blue soft paper booklet like the typical international passport. In 2016, the government began issuing credit-card-sized biometric identity cards (a/k/a ""internal passport"" or ""passport card"") containing an RFID chip. The bearer's address is not printed on the card but is instead coded on the chip and can be accessed by any NFC compatible device. The card is printed in Ukrainian and English except for patronymic information that is only printed in Ukrainian. Cards last ten years before expiring, except that minors' identity cards must be renewed upon turning 18."
United Arab Emirates,بطاقة الهوية الوطنية (National ID Card),"Compulsory for citizens, expatriates and residents. This is also known as Emirates ID."
Uruguay,Documento de Identidad (Idenitity document),"The Identity document (previously known as ""Cédula de idenitdad""), are issued to all Uruguayan citizens and legal residents, Required for children older than 45 day.Documents for uruguayan citizens are in blue and documents for legal residents are in yellow with inscription ""EXTRANJERO"".
It is required for many things such as credit card transactions, age verification, etc."
Uzbekistan,Shaxs Guvohnmasi (National identity card),National identity card have officially Uzbek passports internally in 2021.[101]
Venezuela,Cédula de Identidad (Identity card),"Compulsory for anyone 10 and older, and it must be renewed every 10 years."
Vietnam,Căn cước công dân (Citizen Identity Card),"All citizens above 14 years old must possess a citizen identification card (latest version is an electronic ID card), provided by the local authority, and must be reissued when the citizens' years of age reach 25, 40 and 60. Formerly a people's ID document was used."
Yemen,National identity card,Has an identity card. It is unclear if it is mandatory or not.
Zambia,National Registration Card,"Compulsory for citizens aged 16 and older. It is laminated and must be carried at all times. The national identity card for citizens is green having the last digit of 1, Blue in colour with 2 as the last digit for Commonwealth and Pink in colour with 3 as the last digit for other."
Zimbabwe,National Registration Card,Compulsory for citizens 16 and older. It is plastic and must be carried at all times.
